index,province,district,place_name,category,municipality_or_area,priority,research_status,notes
452,Bagmati Province,Bhaktapur,Siddha Pokhari,Lakes and wetlands,Bhaktapur Municipality,To prioritize,Master inventory researched,
453,Bagmati Province,Bhaktapur,Nagarkot,Viewpoints and hill stations,Changunarayan Municipality,To prioritize,Master inventory researched,Cross-district ridge with Kavrepalanchok.
454,Bagmati Province,Bhaktapur,Pilot Baba Ashram viewpoint,Viewpoints and hill stations,Suryabinayak area,To prioritize,Master inventory researched,
455,Bagmati Province,Lalitpur,Patan Durbar Square,Historical and cultural places,Lalitpur Metropolitan City,To prioritize,Master inventory researched,
456,Bagmati Province,Lalitpur,Patan Museum,"Museums, palaces, forts, and monuments",Patan Durbar Square,To prioritize,Master inventory researched,
457,Bagmati Province,Lalitpur,Hiranya Varna Mahavihar,Religious sites and temples,Patan,To prioritize,Master inventory researched,
458,Bagmati Province,Lalitpur,Mahaboudha Temple,Religious sites and temples,Patan,To prioritize,Master inventory researched,
459,Bagmati Province,Lalitpur,Kumbeshwar Temple,Religious sites and temples,Patan,To prioritize,Master inventory researched,
460,Bagmati Province,Lalitpur,Bajrabarahi Temple and forest,Religious sites and temples,Godawari Municipality,To prioritize,Master inventory researched,
461,Bagmati Province,Lalitpur,Tika Bhairab and Lele valley,Religious sites and temples,Godawari Municipality,To prioritize,Master inventory researched,
462,Bagmati Province,Lalitpur,Karya Binayak Temple,Religious sites and temples,Bungamati area,To prioritize,Master inventory researched,
463,Bagmati Province,Lalitpur,Bungamati heritage village,Community tourism and notable villages,Lalitpur Metropolitan City,To prioritize,Master inventory researched,
464,Bagmati Province,Lalitpur,Khokana heritage village,Community tourism and notable villages,Lalitpur Metropolitan City,To prioritize,Master inventory researched,
465,Bagmati Province,Lalitpur,Godavari Botanical Garden,Natural attractions,Godawari Municipality,To prioritize,Master inventory researched,
466,Bagmati Province,Lalitpur,Phulchowki hill,Viewpoints and hill stations,Godawari Municipality,To prioritize,Master inventory researched,
467,Bagmati Province,Lalitpur,Lakuri Bhanjyang,Viewpoints and hill stations,Mahalaxmi Municipality,To prioritize,Master inventory researched,
468,Bagmati Province,Lalitpur,Nag Daha,Lakes and wetlands,"Dhapakhel, Lalitpur",To prioritize,Master inventory researched,
469,Bagmati Province,Kavrepalanchok,Namo Buddha,Religious sites and temples,Namobuddha Municipality,To prioritize,Master inventory researched,
470,Bagmati Province,Kavrepalanchok,Indreshwar Mahadev Temple,Religious sites and temples,Panauti,To prioritize,Master inventory researched,
471,Bagmati Province,Kavrepalanchok,Palanchok Bhagwati Temple,Religious sites and temples,Panchkhal area,To prioritize,Master inventory researched,
472,Bagmati Province,Kavrepalanchok,Panauti heritage town,Historical and cultural places,Panauti Municipality,To prioritize,Master inventory researched,
473,Bagmati Province,Kavrepalanchok,Banepa old town and Chandeshwari Temple,Historical and cultural places,Banepa Municipality,To prioritize,Master inventory researched,
474,Bagmati Province,Kavrepalanchok,Dhulikhel viewpoints,Viewpoints and hill stations,Dhulikhel Municipality,To prioritize,Master inventory researched,
475,Bagmati Province,Kavrepalanchok,Nagarkot eastern ridge,Viewpoints and hill stations,Banepa/Mandan Deupur side,To prioritize,Master inventory researched,Cross-district ridge with Bhaktapur.
476,Bagmati Province,Kavrepalanchok,Bethanchok Narayanthan,Viewpoints and hill stations,Bethanchok Rural Municipality,To prioritize,Master inventory researched,
477,Bagmati Province,Kavrepalanchok,Balthali village,Community tourism and notable villages,Panauti Municipality,To prioritize,Master inventory researched,
478,Bagmati Province,Kavrepalanchok,Namo Buddha-Dhulikhel-Panauti hiking circuit,Trekking areas and mountain destinations,Central Kavre,To prioritize,Master inventory researched,
479,Bagmati Province,Kavrepalanchok,Tindhare Waterfall,Rivers and waterfalls,Roshib area,To prioritize,Master inventory researched,
480,Bagmati Province,Kavrepalanchok,Kushadevi and Roshi valley,Natural attractions,Panauti-Roshi region,To prioritize,Master inventory researched,
481,Bagmati Province,Sindhuli,Sindhuligadhi Fort,"Museums, palaces, forts, and monuments",Kamalamai Municipality,To prioritize,Master inventory researched,
482,Bagmati Province,Sindhuli,Hariharpurgadhi,"Museums, palaces, forts, and monuments",Hariharpurgadhi Rural Municipality,To prioritize,Master inventory researched,
483,Bagmati Province,Sindhuli,Sindhuligadhi viewpoint,Viewpoints and hill stations,Kamalamai Municipality,To prioritize,Master inventory researched,
484,Bagmati Province,Sindhuli,Phikkal hill viewpoints,Viewpoints and hill stations,Phikkal Rural Municipality,To prioritize,Master inventory researched,
485,Bagmati Province,Sindhuli,Kusheshwar Dumja,Religious sites and temples,Sunkoshi Rural Municipality,To prioritize,Master inventory researched,
486,Bagmati Province,Sindhuli,Kamala River valley,Rivers and waterfalls,Eastern Sindhuli,To prioritize,Master inventory researched,
487,Bagmati Province,Sindhuli,Sunkoshi rafting corridor,Rivers and waterfalls,Northern boundary,To prioritize,Master inventory researched,
488,Bagmati Province,Sindhuli,Marin valley,Natural attractions,Marin Rural Municipality,To prioritize,Master inventory researched,
489,Bagmati Province,Sindhuli,Junaar orchards and village routes,Community tourism and notable villages,Sindhuli highlands,To prioritize,Master inventory researched,
490,Bagmati Province,Ramechhap,Sailung,Viewpoints and hill stations,Doramba Sailung Rural Municipality,To prioritize,Master inventory researched,Cross-district ridge with Dolakha.
491,Bagmati Province,Ramechhap,Sunapati hill,Viewpoints and hill stations,Sunapati Rural Municipality,To prioritize,Master inventory researched,
492,Bagmati Province,Ramechhap,Khadadevi Temple,Religious sites and temples,Khadadevi Rural Municipality,To prioritize,Master inventory researched,
493,Bagmati Province,Ramechhap,Doramba memorial and cultural village,Historical and cultural places,Doramba Sailung,To prioritize,Master inventory researched,
494,Bagmati Province,Ramechhap,Manthali-Tamakoshi river landscape,Rivers and waterfalls,Manthali Municipality,To prioritize,Master inventory researched,
495,Bagmati Province,Ramechhap,Likhu River valley,Rivers and waterfalls,Eastern Ramechhap,To prioritize,Master inventory researched,
496,Bagmati Province,Ramechhap,Jatapokhari and Panchpokhari trekking area,Lakes and wetlands,Umakunda Rural Municipality,To prioritize,Master inventory researched,Remote alpine lake system; local route verification needed.
497,Bagmati Province,Ramechhap,Numbur Cheese Circuit,Trekking areas and mountain destinations,Umakunda/Gumdel region,To prioritize,Master inventory researched,
498,Bagmati Province,Ramechhap,Bamti Bhandar and Gumdel villages,Community tourism and notable villages,Northern Ramechhap,To prioritize,Master inventory researched,
499,Bagmati Province,Ramechhap,Khimti valley,Natural attractions,Eastern Ramechhap,To prioritize,Master inventory researched,
500,Bagmati Province,Makwanpur,Daman,Viewpoints and hill stations,Thaha Municipality,To prioritize,Master inventory researched,
501,Bagmati Province,Makwanpur,Sim Bhanjyang,Viewpoints and hill stations,Thaha Municipality,To prioritize,Master inventory researched,
502,Bagmati Province,Makwanpur,Kanti Rajpath hill viewpoints,Viewpoints and hill stations,Northern Makwanpur,To prioritize,Master inventory researched,
503,Bagmati Province,Makwanpur,Kulekhani Reservoir / Indra Sarovar,Lakes and wetlands,Indrasarowar Rural Municipality,To prioritize,Master inventory researched,
504,Bagmati Province,Makwanpur,Chitlang village,Community tourism and notable villages,Thaha Municipality,To prioritize,Master inventory researched,
505,Bagmati Province,Makwanpur,Markhu,Community tourism and notable villages,Indrasarowar Rural Municipality,To prioritize,Master inventory researched,
506,Bagmati Province,Makwanpur,"Bajrabarahi Temple, Thaha",Religious sites and temples,Thaha Municipality,To prioritize,Master inventory researched,
507,Bagmati Province,Makwanpur,Bhimphedi heritage town,Historical and cultural places,Bhimphedi Rural Municipality,To prioritize,Master inventory researched,
508,Bagmati Province,Makwanpur,Makwanpurgadhi Fort,"Museums, palaces, forts, and monuments",Makwanpurgadhi Rural Municipality,To prioritize,Master inventory researched,
509,Bagmati Province,Makwanpur,Chisapani Gadhi,"Museums, palaces, forts, and monuments",Bhimphedi region,To prioritize,Master inventory researched,
510,Bagmati Province,Makwanpur,Parsa National Park sector,"National parks, conservation areas, and wildlife sites",Southern Makwanpur,To prioritize,Master inventory researched,Cross-district park.
511,Bagmati Province,Chitwan,Chitwan National Park,"National parks, conservation areas, and wildlife sites",Southern Chitwan,To prioritize,Master inventory researched,UNESCO World Heritage national park.
512,Bagmati Province,Chitwan,Bish Hajari birdwatching forests,"National parks, conservation areas, and wildlife sites",Buffer-zone landscape,To prioritize,Master inventory researched,
513,Bagmati Province,Chitwan,Sauraha,Major tourist attractions,Ratnanagar Municipality,To prioritize,Master inventory researched,
514,Bagmati Province,Chitwan,Beeshazar and Associated Lakes,Lakes and wetlands,Bharatpur Metropolitan City,To prioritize,Master inventory researched,Ramsar wetland complex.
515,Bagmati Province,Chitwan,Narayani River waterfront,Rivers and waterfalls,Bharatpur and western Chitwan,To prioritize,Master inventory researched,
516,Bagmati Province,Chitwan,Rapti River wildlife corridor,Rivers and waterfalls,Sauraha and park boundary,To prioritize,Master inventory researched,
517,Bagmati Province,Chitwan,Jalbire Waterfall,Rivers and waterfalls,Ichchhakamana Rural Municipality,To prioritize,Master inventory researched,
518,Bagmati Province,Chitwan,Devghat,Religious sites and temples,Bharatpur/Devghat confluence area,To prioritize,Master inventory researched,Cross-district pilgrimage site with Tanahun.
519,Bagmati Province,Chitwan,Balmiki Ashram approach,Religious sites and temples,Madi/park southern sector,To prioritize,Master inventory researched,Access and district attribution should be checked for publishing.
520,Bagmati Province,Chitwan,Chepang Hill Trail,Trekking areas and mountain destinations,Northern Chitwan,To prioritize,Master inventory researched,
521,Bagmati Province,Chitwan,Siraichuli viewpoint,Viewpoints and hill stations,Ichchhakamana Rural Municipality,To prioritize,Master inventory researched,
522,Bagmati Province,Chitwan,Upper Dang Gadhi,"Museums, palaces, forts, and monuments",Northern Chitwan,To prioritize,Master inventory researched,
523,Bagmati Province,Chitwan,Meghauli wildlife tourism area,Community tourism and notable villages,Bharatpur western sector,To prioritize,Master inventory researched,
524,Bagmati Province,Chitwan,Madi valley and Someshwar hills,Natural attractions,Madi Municipality,To prioritize,Master inventory researched,
